2015-11-25 23:39:04,499 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.pp.tests:PatientPP:1.0-SNAPSHOT @ D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\pom.xml.
2015-11-26 10:37:26,952 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-26 10:37:27,060 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\main\resources
2015-11-26 10:37:27,063 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-26 10:37:27,064 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\test\resources
2015-11-26 10:37:30,851 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-26 10:37:30,852 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\main\resources
2015-11-26 10:37:30,854 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-26 10:37:30,855 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\test\resources
2015-11-26 10:39:21,736 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-26 10:39:21,737 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\main\resources
2015-11-26 10:39:21,741 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-26 10:39:21,741 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\test\resources
2015-11-26 10:39:22,834 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-26 10:39:22,836 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\main\resources
2015-11-26 10:39:22,838 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-26 10:39:22,843 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\test\resources
2015-11-26 10:40:06,975 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-26 10:40:06,976 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\main\resources
2015-11-26 10:40:06,977 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-26 10:40:06,978 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\test\resources
2015-11-26 10:40:32,311 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-26 10:40:32,312 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\main\resources
2015-11-26 10:40:32,314 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-26 10:40:32,315 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\test\resources
2015-11-26 10:40:43,274 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-26 10:40:43,276 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\main\resources
2015-11-26 10:40:43,278 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-26 10:40:43,279 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\test\resources
2015-11-26 10:40:44,678 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-26 10:40:44,679 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\main\resources
2015-11-26 10:40:44,684 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-26 10:40:44,687 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\test\resources
2015-11-26 10:42:01,402 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-26 10:42:01,403 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\main\resources
2015-11-26 10:42:01,404 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-26 10:42:01,405 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\test\resources
2015-11-26 14:25:25,802 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-26 14:25:25,884 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\main\resources
2015-11-26 14:25:25,893 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-26 14:25:25,899 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\test\resources
